id,taxactionSystem,regdt,workerCount,fssdccount,pfrdcCount,fnsdcCount,hasCloudCryptCertificate,OrgCreationDate,documentsCount,cnt_users,is_prolong
106879,General taxation system,0.072615741,0,1,0,2,1,31.03.2015,5,1,1
108820,Fixed income from profit 6%,25.02.2012,2,1,2,1,1,0.649016204,5,0,1
104079,15% flat tax on profits,0.402476852,0,1,1,2,0,0.651782407,6,1,0
106924,15% flat tax on profits,0.487858796,1,0,0,0,0,0.196226852,5,0,1
106335,Fixed income from profit 5%,0.194039352,3,2,2,2,0,0.192083333,7,0,0
101260,15% flat tax on profits,0.066331019,0,1,1,2,1,0.275405093,4,1,0
110015,Fixed tax 6% on income,0.151053241,1,0,0,0,1,0.524016204,3,0,1
104987,General taxation system,28.12.2007,1,0,0,0,0,26.03.2014,0,0,1
109830,General taxation system,0.901099537,0,0,0,0,0,0.818460648,2,0,0
101354,Fixed tax 6% on income,0.984988426,3,0,0,1,0,0.192060185,0,0,1
108475,Fixed tax 6% on income,26.04.2011,0,0,0,1,0,0.857349537,3,0,0
105079,Fixed tax 6% on income +Single tax on imputed income,0.732118056,4,2,3,3,1,31.03.2016,0,0,0
106620,Fixed tax 6% on income,0.113472222,3,3,2,2,1,0.98375,8,1,1
105864,Fixed tax 6% on income,0.609421296,2,1,0,1,1,0.318449074,6,0,1
108277,General taxation system,31.05.2013,2,0,0,0,0,0.064351852,0,0,1
101497,General taxation system,31.08.2010,0,0,0,2,0,0.73650463,5,0,1
108732,Fixed income from profit 7%,0.192650463,2,2,2,2,1,29.03.2014,7,1,1
103370,General taxation system,0.572615741,0,0,0,2,1,0.066377315,4,0,1
102429,Fixed tax 6% on income,0.151782407,2,2,2,2,1,0.818449074,6,1,0
104284,Fixed tax 6% on income,28.06.2012,0,0,0,2,1,0.607349537,5,0,1
104236,Fixed tax 6% on income,30.07.2007,1,2,2,2,1,0.650416667,6,0,1
105262,15% flat tax on profits,0.985787037,1,1,1,0,0,0.151087963,5,0,1
102438,15% flat tax on profits,0.281631944,1,0,0,0,0,0.400416667,7,0,1
107590,Fixed income from profit 125%,0.065625,1,1,2,1,1,0.989976852,6,0,0
104244,15% flat tax on profits,0.78162037,0,0,0,0,0,0.610115741,5,0,1
108462,15% flat tax on profits,0.445532407,3,0,0,0,0,0.446226852,6,1,0
109421,Fixed income from profit 7%,0.944837963,1,0,0,0,0,0.357349537,7,0,1
107394,Tax patent 3%,0.149016204,0,0,1,0,0,0.442766204,0,0,0
106376,Fixed income from profit 10%,0.823298611,0,2,1,1,1,29.03.2014,5,0,1
106256,Fixed tax 6% on income,0.612893519,1,2,2,2,1,0.323310185,5,0,1
103483,Fixed income from profit 7%,0.070532407,0,0,0,0,0,0.989976852,6,0,0
101565,Tax patent 3%,25.07.2005,0,0,0,0,0,0.781655093,4,0,1
105375,15% flat tax on profits,29.10.2011,2,1,2,2,1,0.985810185,7,1,1
106843,Fixed tax 6% on income,0.110810185,1,1,0,1,1,0.364976852,5,1,1
105542,General taxation system,0.613564815,1,1,0,2,1,0.108738426,6,0,1
104616,Fixed tax 6% on income,26.08.2010,2,0,0,0,0,0.064351852,0,0,1
106532,Fixed tax 6% on income,0.816365741,0,0,0,0,0,0.10943287,5,0,1
102010,General taxation system,0.233020833,1,1,0,2,1,0.441377315,6,0,1
107486,Fixed tax 6% on income,0.237048611,3,2,3,1,0,0.064351852,2,0,1
108500,Tax patent 3%,0.573310185,1,0,0,0,1,27.08.2015,0,0,1
109651,Fixed tax 6% on income,0.06912037,1,2,3,2,1,0.064351852,7,0,1
104498,General taxation system,30.11.2014,0,0,0,0,1,0.607361111,4,0,0
100647,General taxation system,0.52818287,0,0,1,1,1,0.696238426,1,0,1
108588,Single tax on imputed income,0.735810185,0,0,0,0,0,25.08.2014,5,0,1
104587,Fixed tax 6% on income,0.318449074,2,0,0,0,0,0.985810185,4,0,1
110056,Fixed tax 6% on income,0.566238426,3,0,0,0,0,0.989976852,4,0,0
108041,15% flat tax on profits,28.03.2012,2,1,1,1,1,30.03.2016,8,0,1
109128,Fixed tax 6% on income,26.05.2013,1,1,2,2,1,29.11.2014,7,0,1
108713,Fixed tax 6% on income,0.821053241,3,2,2,1,0,0.48375,8,0,1
100048,Single tax on imputed income,26.02.2014,1,2,2,2,1,0.608032407,7,1,0
103778,15% flat tax on profits,24.10.2015,0,0,0,0,0,0.572627315,5,0,0
103035,15% flat tax on profits +Single tax on imputed income,0.27599537,2,0,0,0,0,24.07.2014,0,0,1
103446,General taxation system,0.526030093,2,1,2,2,0,0.31775463,1,0,0
105692,Fixed tax 6% on income,0.483680556,1,0,0,0,0,0.446921296,8,0,1
104486,Fixed income from profit 7%,0.983032407,0,1,1,1,0,0.150393519,5,0,1
106930,General taxation system,0.609421296,0,1,1,3,1,0.402476852,5,0,0
109085,Single tax on imputed income,29.01.2010,1,0,0,0,0,0.064351852,0,0,1
